Country,Code,Population,GDP per capita,"Homicide by firearm rate per 100,000",Rank by rate of ownership,Average firearms per 100 people,Average total all civilian firearms,% of homicides by firearm,Number of homicides by firearm,"Homicides per 100,000",Total number of homicides
Colombia,COL,48321405,7752,27.09,91,5.9,2700000,81.1,12539,30.8,14670
Bulgaria,BGR,7265115,7004,0.67,88,6.2,480000,29.7,51,1.9,141
Honduras,HND,8097688,2339,68.43,88,6.2,500000,83.4,5201,90.4,7172
Kenya,KEN,44353691,943,,86,6.4,740000,,,6.4,2761
Swaziland,SWZ,1249514,3137,,86,6.4,72000,,,33.8,416
Maldives,MDV,345023,7700,1.63,85,6.5,21000,62.5,5,3.9,13
Ukraine,UKR,45489600,3872,0.22,84,6.6,3100000,4.5,100,4.3,1988
Moldova,MDA,3559000,,0.22,83,7.1,300000,3.3,8,6.5,229
Belarus,BLR,9466000,6726,0.12,79,7.3,710000,2.5,12,5.1,486
Georgia,GEO,4476900,3632,0.55,79,7.3,330000,13.3,24,4.3,187
Iran,IRN,77447168,7217,,79,7.3,3500000,,,3.9,3126
Israel,ISR,8059400,31537,0.09,79,7.3,500000,11.7,6,1.8,134
Algeria,DZA,39208194,5380,0.06,78,7.6,1900000,4.8,20,0.7,280
Nicaragua,NIC,6080478,1754,5.92,77,7.7,395000,42.1,338,11.3,675
Barbados,BRB,284644,16004,2.99,76,7.8,21000,40,8,7.4,21
Brazil,BRA,200361925,11347,18.1,75,8,14840000,70.8,34678,25.2,50108
Jamaica,JAM,2715000,5343,39.4,74,8.1,215000,75.6,1080,39.3,1087
Slovakia,SVK,5414095,16774,0.18,73,8.3,450000,11.2,10,1.4,75
Portugal,PRT,10459806,20006,0.41,72,8.5,900000,33.8,44,1.2,122
Albania,ALB,2773620,3809,1.76,70,8.6,270000,65.9,56,5,157
Ireland,IRL,4595281,46032,0.48,70,8.6,360000,42,21,1.2,54
Russia,RUS,143499861,14178,,68,8.9,12750000,,,9.2,13120
Zambia,ZMB,14538640,1527,0.35,68,8.9,230000,11.7,28,10.7,1501
Somalia,SOM,10495583,128,,66,9.1,750000,,,8,819
Estonia,EST,1324612,17335,0.24,65,9.2,123000,3.9,3,5,65
Costa Rica,CRI,4872166,9387,4.59,64,9.9,430000,57.3,201,8.5,407
Belize,BLZ,331900,4795,21.82,62,10,29000,52.3,68,44.7,145
Argentina,ARG,41446246,11610,3.02,62,10.2,3950000,52,1198,5.5,2237
Spain,ESP,46647421,28278,0.2,61,10.4,4500000,21.8,90,0.8,364
Chile,CHL,17619708,15363,2.16,59,10.7,1750000,37.3,353,3.1,550
Venezuela,VEN,30405207,12767,38.97,59,10.7,2850000,79.5,11115,53.7,16072
Jordan,JOR,6459000,4414,0.49,58,11.5,630000,38.8,26,2,133
Pakistan,PAK,182142594,1201,,57,11.6,18000000,,,7.7,13846
Italy,ITA,59831093,33069,0.71,55,11.9,7000000,66.7,417,0.9,530
Malta,MLT,423282,20514,0,55,11.9,48000,0,0,2.8,12
Denmark,DNK,5613706,56253,0.27,54,12,650000,31.9,15,0.8,47
Armenia,ARM,2976566,3351,0.29,52,12.5,380000,13,9,1.8,54
Turkey,TUR,74932641,10653,0.77,52,12.5,9000000,16.9,535,2.6,1866
Namibia,NAM,2303315,5668,,51,12.6,260000,,,17.2,388
South Africa,ZAF,52981991,7336,17.03,50,12.7,5950000,45,8319,31,16259
Guatemala,GTM,15468203,3340,34.81,49,13.1,1650000,84,5009,39.9,6025
Suriname,SUR,539276,9376,,48,13.4,60000,,,6.1,33
Slovenia,SVN,2060484,21947,0.1,47,13.5,270000,15.4,2,0.7,14
Gabon,GAB,1671711,14747,,46,14,190000,,,9.1,148
Guyana,GUY,799613,3585,11.46,45,14.6,110000,61.3,85,17,135
Mauritius,MUS,1296303,9238,0.1,44,14.7,180000,2,1,2.8,34
Australia,AUS,23130900,67869,0.14,42,15,3050000,11.5,30,1.1,254
Mexico,MEX,122332399,9795,9.97,42,15,15500000,54.9,11309,21.5,26037
Luxembourg,LUX,543202,105287,0.62,41,15.3,70000,42.9,3,0.8,4
Libya,LBY,6201521,15566,,40,15.5,900000,,,1.7,103
Thailand,THA,67010502,5775,,39,15.6,10000000,,,5,3307
Czech Republic,CZE,10521468,18428,0.19,38,16.3,1600000,11,20,1,105
Paraguay,PRY,6802295,3878,7.35,37,17,1000000,56.1,466,9.7,649
Belgium,BEL,11195138,43707,0.68,34,17.2,1800000,39.5,70,1.6,182
Angola,AGO,21471618,5586,,34,17.3,2800000,,,10,2079
Bosnia and Herzegovina,BIH,3829307,4517,0.48,34,17.3,675000,24.7,18,1.3,51
Peru,PER,30375603,6825,2.63,33,18.8,750000,50.8,757,9.6,2865
Latvia,LVA,2013385,13773,0.22,32,19,280000,4.6,5,4.7,97
Qatar,QAT,2168673,93831,0.14,31,19.2,520100,16.7,1,1.1,23
Kosovo,SCG,1842000,2813,,30,19.5,415000,,,3.6,64
Equatorial Guinea,GNQ,757014,19680,,29,19.9,100000,,,19.3,142
Lebanon,LBN,4467390,9143,0.76,28,21,750000,36.5,31,2.2,95
Croatia,HRV,4252700,13105,0.39,26,21.7,950000,34.7,17,1.2,51
Panama,PAN,3864170,9534,16.18,26,21.7,700000,75,569,17.2,654
United Arab Emirates,ARE,9346129,41692,,24,22.1,1000000,,,2.6,235
Greece,GRC,11032328,22377,0.26,23,22.5,2500000,34.9,29,1.7,184
New Zealand,NZL,4470800,38399,0.16,22,22.6,925000,13.5,7,0.9,41
Montenegro,MNE,621383,6514,,21,23.1,150000,,,2.7,17
Macedonia,MKD,2107158,4548,1.21,20,24.1,490000,62.5,25,1.4,30
Bahrain,BHR,1332171,23039,0,18,24.8,180000,0,0,0.5,7
Kuwait,KWT,3368572,56367,,18,24.8,630000,,,0.4,12
Oman,OMN,3632444,23570,,17,25.4,650000,,,1.1,34
Germany,DEU,80621788,41376,0.19,15,30.3,25000000,26.3,158,0.8,662
Iceland,ISL,323002,41670,0,15,30.3,90000,0,0,0.3,1
